,anio,region,prov,mes,f_BIODIESEL
449,2011,3,9,11,1
450,2011,3,9,11,1
451,2011,7,6,11,0
452,2011,1,4,11,0
453,2011,7,18,11,0
454,2011,1,4,11,0
455,2011,0,0,11,0
456,2011,0,0,11,0
457,2011,3,9,11,0
458,2011,4,0,11,1
459,2011,4,0,11,1
460,2011,1,4,11,0
461,2011,6,10,11,0
462,2011,7,19,11,0
463,2011,3,14,11,0
464,2011,1,4,11,0
465,2011,7,18,11,0
466,2011,7,6,11,0
467,2011,2,12,11,0
468,2011,3,14,11,1
469,2011,5,17,11,0
470,2011,3,14,11,0
471,2011,3,9,11,0
472,2011,5,0,11,1
473,2011,1,4,11,0
474,2011,7,13,11,0
475,2011,5,17,11,1
476,2011,7,13,11,0
477,2011,3,14,11,0
478,2011,5,0,12,1
479,2011,5,0,12,1
480,2011,8,3,12,0
481,2011,7,8,12,0
482,2011,3,9,12,0
483,2011,7,19,12,0
484,2011,1,4,12,0
485,2011,3,9,12,0
486,2011,1,4,12,0
487,2011,1,4,12,0
488,2011,3,9,12,0
489,2011,3,14,12,0
490,2011,8,3,12,0
491,2011,7,19,12,0
492,2011,3,9,12,0
493,2011,1,4,12,0
494,2011,7,19,12,0
495,2011,3,9,12,1
496,2011,3,9,12,1
497,2011,7,6,12,0
498,2011,1,4,12,0
499,2011,7,18,12,0
500,2011,1,4,12,0
501,2011,0,0,12,0
502,2011,0,0,12,0
503,2011,3,9,12,0
504,2011,4,0,12,1
505,2011,4,0,12,1
506,2011,1,4,12,0
507,2011,6,10,12,0
508,2011,7,19,12,0
509,2011,3,14,12,0
510,2011,8,3,12,0
511,2011,8,3,12,0
512,2011,1,4,12,0
513,2011,7,18,12,0
514,2011,7,6,12,0
515,2011,2,12,12,0
516,2011,3,14,12,1
517,2011,5,17,12,0
518,2011,3,14,12,0
519,2011,3,9,12,0
520,2011,5,0,12,1
521,2011,1,4,12,0
522,2011,7,13,12,0
523,2011,5,17,12,1
524,2011,7,13,12,0
525,2011,3,14,12,0
526,2012,5,0,1,1
527,2012,5,0,1,1
528,2012,8,3,1,0
529,2012,7,8,1,0
530,2012,3,9,1,0
531,2012,7,19,1,0
532,2012,1,4,1,0
533,2012,3,9,1,0
534,2012,1,4,1,0
535,2012,1,4,1,0
536,2012,3,9,1,0
537,2012,3,14,1,0
538,2012,8,3,1,0
539,2012,7,19,1,0
540,2012,3,9,1,0
541,2012,1,4,1,0
542,2012,7,19,1,0
543,2012,3,9,1,1
544,2012,3,9,1,1
545,2012,7,6,1,0
546,2012,1,4,1,0
547,2012,7,18,1,0
548,2012,1,4,1,0
549,2012,0,0,1,0
550,2012,0,0,1,0
551,2012,3,9,1,0
552,2012,4,0,1,1
553,2012,4,0,1,1
554,2012,1,4,1,0
555,2012,4,0,1,1
556,2012,4,0,1,1
557,2012,6,10,1,0
558,2012,7,19,1,0
559,2012,3,14,1,0
560,2012,8,3,1,0
561,2012,8,3,1,0
562,2012,1,4,1,0
563,2012,7,18,1,0
564,2012,7,6,1,0
565,2012,2,12,1,0
566,2012,3,14,1,1
567,2012,5,17,1,0
568,2012,3,14,1,0
569,2012,3,14,1,0
570,2012,3,9,1,0
571,2012,5,0,1,1
572,2012,1,4,1,0
573,2012,7,13,1,0
574,2012,5,17,1,1
575,2012,7,13,1,0
576,2012,3,14,1,0
577,2012,5,0,2,1
578,2012,5,0,2,1
579,2012,8,3,2,0
580,2012,7,8,2,0
581,2012,3,9,2,0
582,2012,7,19,2,0
583,2012,1,4,2,0
584,2012,3,9,2,0
585,2012,1,4,2,0
586,2012,1,4,2,0
587,2012,2,12,2,0
588,2012,2,12,2,0
589,2012,3,9,2,0
590,2012,3,14,2,0
591,2012,8,3,2,0
592,2012,7,19,2,0
593,2012,3,9,2,0
594,2012,1,4,2,0
595,2012,7,19,2,0
596,2012,3,9,2,1
597,2012,3,9,2,1
598,2012,7,6,2,0
599,2012,1,4,2,0
